Price,Close,High,Low,Open,Volume,Ticker
Ticker,TGT,TGT,TGT,TGT,TGT,
Date,,,,,,
2023-01-03,139.9336395263672,140.77289430793294,137.95079843122355,138.3196945183486,3685200,TGT
2023-01-04,140.84669494628906,142.32230763469124,136.19852482856206,136.7334340762957,4443300,TGT
2023-01-05,142.26695251464844,142.49751610466,138.60560157946583,140.3763423345413,3266000,TGT
2023-01-06,147.69903564453125,148.5382905208906,144.683273906821,145.39339965836945,4944200,TGT
2023-01-09,144.19447326660156,147.9019256218011,144.18524171671046,147.45002999664388,3853800,TGT
2023-01-10,143.84400939941406,145.29194138408533,142.80185750025072,145.18127536735446,2554900,TGT
2023-01-11,146.6107635498047,146.63843005231777,143.7794361644427,144.93225401076597,3146800,TGT
2023-01-12,147.3301239013672,147.79125104972826,144.31434841079022,147.56068747554772,3222600,TGT
2023-01-13,151.8030548095703,152.10738632754462,146.75832294854837,146.93355350721922,5161200,TGT
2023-01-17,149.4974365234375,152.80832627936044,149.4697700185957,151.70162386823534,3527900,TGT
2023-01-18,148.32615661621094,152.34718581483716,148.14170857585776,150.7055743324721,2798100,TGT
2023-01-19,146.73065185546875,148.12325065990913,145.2827059770092,147.09954791403442,2881300,TGT
2023-01-20,149.598876953125,150.09688808575626,146.17730729089013,147.21945915836702,3122000,TGT
2023-01-23,151.8307342529297,152.62387353650433,148.80574118824595,149.5988804718206,2371400,TGT
2023-01-24,150.834716796875,156.61725608825336,150.56725512811477,156.61725608825336,1902000,TGT
2023-01-25,151.44338989257812,151.44338989257812,148.15093517595966,149.86632879460032,2248200,TGT
2023-01-26,154.04415893554688,154.10872350153755,151.69240728457459,152.8175588340988,2079100,TGT
2023-01-27,155.4090576171875,157.0783496200015,153.82277919143488,154.93871301876013,3850300,TGT
2023-01-30,155.5658721923828,156.40512711022248,152.854455959532,154.01649148789664,3453500,TGT
2023-01-31,158.75685119628906,158.83063322738707,155.04938505039394,155.04938505039394,3716000,TGT
2023-02-01,163.3127899169922,163.8661340426063,156.70022840489472,158.72918501044683,4022200,TGT
2023-02-02,166.9464874267578,167.57361363390746,163.14678991158257,163.89382776066566,4003800,TGT
2023-02-03,163.01768493652344,165.1481044509282,161.57897030418764,163.4880436934309,2941600,TGT
2023-02-06,160.3246612548828,161.74494055478758,158.369486921098,161.1085829270039,2642700,TGT
2023-02-07,161.1731719970703,161.8003122994442,158.57242193711255,160.05725206668453,2256700,TGT
2023-02-08,158.43408203125,160.44460400245245,158.17585191714852,160.0295923242526,2037000,TGT
2023-02-09,158.04672241210938,160.49070486695302,157.2996986451424,159.27332237820352,1656100,TGT
2023-02-10,156.80169677734375,157.8899502128091,155.6673137349698,157.078375911398,1841400,TGT
2023-02-13,159.8451385498047,160.01113758616745,157.08759284173513,157.69628412003573,2432600,TGT
2023-02-14,158.85211181640625,160.5318567345628,156.68978363180338,159.20477045273884,2418400,TGT
2023-02-15,163.3531036376953,163.60366347328713,157.7199113217819,157.77559128524675,2954400,TGT
2023-02-16,161.9796142578125,164.5317166775642,161.2650357760037,161.66408499358073,2318700,TGT
2023-02-17,160.75460815429688,161.03302215204863,158.59227973546285,160.87525752415826,2678100,TGT
2023-02-21,154.25833129882812,158.68507232851388,154.21192661065965,157.32085662855238,4133600,TGT
2023-02-22,153.79429626464844,157.1166704993671,153.3117130486899,153.68293635355076,2941000,TGT
2023-02-23,153.59014892578125,153.96135812294403,150.2213695266726,153.96135812294403,2718500,TGT
2023-02-24,154.9451141357422,155.38127863971093,151.27008018997813,152.27236217518652,2888800,TGT
