Price,Close,High,Low,Open,Volume,Ticker
Ticker,META,META,META,META,META,
Date,,,,,,
2023-05-08,232.17575073242188,234.51471793178555,229.18982352600867,230.3344228802493,16400500,META
2023-05-09,232.2752685546875,234.77350399447775,229.99601750847725,230.37423980806227,16865600,META
2023-05-10,231.98666381835938,235.63944666006466,229.6377335630662,235.06216551737595,19119000,META
2023-05-11,234.68392944335938,237.09259086537824,231.21031035330682,231.95679218923837,20449000,META
2023-05-12,232.7132110595703,235.84844374014472,230.3642810485693,235.62947452992515,16155300,META
2023-05-15,237.73951721191406,239.13294378898573,234.22607752588772,235.80861524996425,20653200,META
2023-05-16,237.69972229003906,238.515867840056,234.4151992814864,234.68392179887599,18163800,META
2023-05-17,241.35252380371094,242.69618205809556,237.0229228805313,237.3314662903408,21193100,META
2023-05-18,245.69207763671875,245.93094212056806,240.05862402200853,240.16810863951042,22943300,META
2023-05-19,244.4877471923828,247.52344323906496,242.26821196591578,246.3091648203921,21599800,META
2023-05-22,247.15516662597656,252.3805394775979,243.9701653095046,244.25881345757563,27738500,META
2023-05-23,245.5825653076172,250.4297156168021,245.49297594907011,245.6522290451414,17748100,META
2023-05-24,248.04098510742188,248.41919223447994,243.80095866239202,244.12941248469795,17724300,META
2023-05-25,251.50466918945312,254.42091768179606,248.00117676182518,252.21133017450006,22371400,META
2023-05-26,260.810791015625,261.0795135233531,251.5245557905279,251.74350980849536,25727200,META
2023-05-30,261.2885437011719,267.3897935706732,260.0643329023369,264.0057485798782,23816500,META
2023-05-31,263.47821044921875,263.7568957656169,257.2376336992919,258.78035056249206,25473700,META
2023-06-01,271.3311767578125,272.7146708722513,264.64272931776173,264.65266175333346,25609500,META
2023-06-02,271.3311767578125,274.0583441211411,269.84817604113204,271.380960433354,19405300,META
2023-06-05,270.1169128417969,274.27729699869366,268.29548043796774,269.031999347484,20742900,META
2023-06-06,269.8482360839844,275.2726835876364,268.42495116172773,268.8728524691586,19419000,META
2023-06-07,262.3634948730469,272.9635311187251,261.5672293379274,270.3956469072227,26163600,META
2023-06-08,263.3388671875,266.3944734012991,257.6656235664066,259.39745167318773,20899400,META
2023-06-09,263.7071228027344,266.69304970199425,260.47236866186955,261.24870844070034,16938500,META
2023-06-12,269.77850341796875,270.47523189644943,264.085334488373,265.91672985333565,15442500,META
2023-06-13,270.0472717285156,274.42662568433303,267.82772150543565,273.5905696870389,16164000,META
2023-06-14,272.0677490234375,273.70004015551854,267.06134545688445,270.61460623980014,19175100,META
2023-06-15,280.5079345703125,282.65780575077775,270.1467941493796,271.02264059378706,25973500,META
2023-06-16,279.6818542480469,286.49972758840875,278.81594019978445,283.414263334987,43102500,META
2023-06-20,282.9962158203125,283.4640123003581,274.92427380491404,277.4225093020109,20701600,META
2023-06-21,280.31884765625,282.6677623694573,277.05420490324326,282.1999659139394,20556200,META
2023-06-22,283.54364013671875,283.9218624264393,276.48690278855537,277.77082956228554,17563100,META
2023-06-23,287.3756103515625,288.3112033451979,277.64148846781046,280.1894773602233,50988400,META
2023-06-26,277.1637268066406,288.43063312942365,276.29781274794044,287.34574985333995,24232700,META
2023-06-27,285.7034606933594,287.992689813464,279.3334886243804,280.68712477465124,26108300,META
2023-06-28,283.9517517089844,288.19174797067035,282.7275105377967,283.4839552004256,16722100,META
2023-06-29,280.2093811035156,285.2257476763586,279.37332507044584,283.16545046570934,15395700,META
2023-06-30,285.6337890625,287.6940556173731,283.08580044078826,283.4242018574071,19676000,META
2023-07-03,284.67828369140625,288.0424331420296,283.51378911198844,285.35511693031197,8629300,META
2023-07-05,292.9891357421875,296.72154487782586,285.0167001086486,286.3006573561467,33865500,META
2023-07-06,290.62030029296875,296.72155005981983,289.94349738108144,294.5020301613624,47600500,META
2023-07-07,289.1671447753906,294.8105606037905,287.30592166227655,290.80939867670173,25546200,META
2023-07-10,292.72039794921875,296.73149220943253,285.7034509156094,294.16357784839363,37058300,META
2023-07-11,296.8907775878906,298.7718961039844,290.53073748119385,292.5213557994952,27585900,META
2023-07-12,307.888916015625,307.99841581227344,298.69226957179035,300.3345235261289,36677100,META
2023-07-13,311.9398193359375,314.7565306398543,308.8344598968248,312.148825735841,30281000,META
2023-07-14,307.4211120605469,313.4029293780309,305.9181856231809,310.32742795194724,22576000,META
2023-07-17,309.16290283203125,310.2477860887302,303.2806225002827,306.09736421786033,25323100,META
2023-07-18,310.58624267578125,312.72618188599495,306.17702994040064,309.4217478503516,20764600,META
2023-07-19,314.52764892578125,317.18510730194566,309.06338112949766,311.56161677383153,21763700,META
2023-07-20,301.10089111328125,314.05983473863796,300.8023105398768,312.0293957162204,23836900,META
2023-07-21,292.8796691894531,304.02711302576523,289.834025734893,303.14130371026374,42089700,META
2023-07-24,290.2420959472656,296.1243768570865,286.9476249852087,294.3925486004377,24915700,META
2023-07-25,293.08868408203125,296.90070472883343,290.4909114282854,293.8053078788138,19585600,META
2023-07-26,297.1694641113281,300.35443520853624,290.5307386288225,299.7771692586956,47256900,META
2023-07-27,310.247802734375,323.82383394912125,308.38657950722336,323.5949019127115,64229200,META
